airline_sentiment,airline_sentiment_confidence,text,negativereason_confidence,sentimiento_nb,sentimiento_dt
positive,1.0,wow awesome video guy great work bluemanity corevalues passion aerojobmarket avgeek,,positive,positive
positive,1.0,wow amazing video great world guy bluemanity corevalues passion aerojobmarket,,positive,positive
positive,1.0,today family get experience mosaic status w lifeisgood,,positive,neutral
positive,0.6394,word thanks,,positive,positive
neutral,1.0,chance u offer fresh guacamole flight,,neutral,negative
neutral,0.6526,get 7 degree weatherhere go westpalmbeachbound,,neutral,neutral
neutral,1.0,airway lowered strong sell vetr inc jblu mideast time,,neutral,neutral
neutral,1.0,flier gain access wsj content,,neutral,neutral
negative,1.0,yeah thats done define incidental much spend gear trip waste,1.0,negative,neutral
negative,1.0,guy lost bag ski gear flew nyc ski buy new stuff tomorrow,1.0,negative,neutral
positive,0.6742,162 smf jfk,,positive,neutral
neutral,0.6039,youd love see girl inspired becoming pilot rt free woaw event march 28 abq,,neutral,neutral
neutral,0.3602,thanks anyways back awesome rate amp amazing customer service nomoreaggravation,0.0,positive,positive
negative,1.0,hold 30 min placed hold hung 2nd time 2 day looking group rate bossju 512 519 10 people,1.0,negative,neutral
negative,1.0,youre customer service terrible neveragain flywhonotblue,1.0,positive,neutral
negative,1.0,delayed 102 ridiculous,0.6617,negative,neutral
negative,1.0,youre flight attendant suck always rude 4th bad experience jetblue tonight,1.0,negative,negative
negative,1.0,flight 672 delayed 930 1147 still sitting runway 15 minute far air travel best,1.0,negative,negative
neutral,0.3363,oh make sense bad,0.0,positive,neutral
negative,1.0,1242 may cry,0.6761,negative,neutral
negative,0.662,wont site let book ticket nov jfk kin,0.662,negative,neutral
negative,1.0,late flight lost almost 3 hour bay area weekend mention two hour unnecessary vacation time work flt348,1.0,negative,negative
positive,1.0,thank,,positive,positive
positive,0.7263,thanks ill,,positive,positive
negative,0.6252,yes get exact data download fine upload bandwidth ping issue ping especially,0.3307,negative,neutral
positive,1.0,love jetblues speedy twitter customer service,,positive,neutral
neutral,1.0,since high likelihood snow time flight tomorrow chance rebook sunday,,neutral,negative
neutral,1.0,dca nantucket washington business journal,,neutral,neutral
positive,0.7047,thanks,,positive,positive
neutral,1.0,traveling two kid tomorrow age 7 4 domestic need birth certificate check airport,,neutral,neutral
positive,1.0,thank much effort,,positive,positive
positive,1.0,thanks letting u know hoping delay,,negative,positive
negative,0.6854,appreciate response worst part losing non refundable hotel orlando crew blamed wind hoping delay,0.3512,negative,neutral
neutral,1.0,flight 1183 orlando,,neutral,negative
negative,1.0,awful flight jfk honeymoon delayed 1225 lost money hotel delayforwhat,1.0,negative,negative
neutral,1.0,phone number news 6318915722,,neutral,neutral
negative,1.0,flight 348 freaking nightmare tonight sittingonthetarmac delay,0.3398,negative,negative
neutral,1.0,used point get back decide go,,negative,neutral
neutral,1.0,one picture,,positive,neutral
positive,0.6596,thanks,,positive,positive
neutral,0.6383,share coming,0.0,neutral,neutral
neutral,0.3469,weather 60 sfo flight 834 still time boston,0.0,neutral,negative
negative,1.0,whats going flight 2034 delayed beyond 834 shouldnt thre flight switch point,1.0,negative,negative
positive,0.6551,thanks info figured case hopefully new hashtag change abcletjetbluestreamfeed,,positive,positive
neutral,1.0,april 6th anything specific know first flight,,neutral,negative
negative,1.0,bein calling jetblue respond leave number call back think jetblue loosing customer,1.0,negative,neutral
negative,1.0,im flt 700 lax fll ppl sleeping id rather disturb flight tried dl movie go,1.0,negative,negative
negative,0.3537,made costa rica back missing already pura vida,0.3537,positive,neutral
neutral,1.0,dont abc inflight tv channel sharktank,,neutral,neutral
negative,0.6652,love guy know paid prem wifi toplay go ping terrible,0.3446,positive,neutral
neutral,1.0,266 lgb sunny cal,,neutral,neutral
neutral,1.0,think snow boston 224 effect flight,,neutral,negative
neutral,1.0,id like see markie,,neutral,neutral
negative,1.0,thanks making miss important dinner tonight 2 hr delay 20 min tarmac worst,1.0,negative,negative
positive,1.0,yes terra blue chip favorite,,positive,neutral
positive,1.0,dmd confirmation code thanks help mommy daddy kid appreciate,,positive,positive
neutral,1.0,airway corporation insider trading update rock hill daily,,neutral,neutral
neutral,0.68,thanks loose em airports1st time found think need make flex stay carrying bag,0.0,neutral,positive
negative,1.0,dont enough hand count number time something like delayed flight guy disappointed,1.0,negative,negative
negative,1.0,called number left message pas along message team,0.6376,negative,neutral
positive,0.6846,cool 60 anticipate completing installation a320s year,,positive,neutral
positive,1.0,love guy sooooooo much ridiculously appreciated service,,positive,neutral
negative,1.0,option luggage assistance ground hpn flight 2168 delayed 2 hour amp 2 sleeping kid land,1.0,negative,negative
negative,1.0,ask slc checkinbag drop found dark blueblackish fit bit flex wouldve lost around 445pm mt,1.0,neutral,neutral
positive,1.0,officially favorite thank wonderful service jfk,,positive,positive
negative,1.0,seriously going,0.6748,neutral,neutral
negative,1.0,news flight 122 pbiboston delay wait arrive airport based reported 1 12 hour delay,1.0,negative,negative
positive,0.6544,airway corporation nasdaqjblu reach new high range streetwise report,,neutral,neutral
positive,0.6669,thanks,,positive,positive
negative,0.653,im sorry boarding chaos underway please query post scrum,0.3513,negative,neutral
negative,1.0,boarding im really impressed ive learnt valuable lesson,0.3442,negative,neutral
neutral,1.0,question flying 1st time 16mont old sondo need bring anything birth certificate card etc,,neutral,neutral
neutral,1.0,process begin 648,,neutral,neutral
negative,1.0,yes filed claim issued 30 credit courtesy whole thing seems exceptionally uncourteous,1.0,negative,neutral
negative,1.0,yes boarding 644 good luck push wheel reality dare,1.0,positive,neutral
negative,0.6931,tried burger good expensive lead believe food usa cheap butnot,0.3663,negative,neutral
negative,1.0,im trying im tired getting grumpy,0.3395,negative,neutral
negative,0.6703,flight1407 long day arrived london 11 morning,0.6703,negative,neutral
negative,1.0,look like inflatable car seat got left plane guess theyll back sometime savethoseseats,0.6842,negative,neutral
neutral,0.6874,imma need hook tho,,neutral,neutral
positive,1.0,thanks,,positive,positive
neutral,1.0,california,,neutral,neutral
neutral,1.0,hawaii deal u,,neutral,neutral
neutral,0.6492,thank,,positive,positive
neutral,0.7088,yall got price low,,neutral,neutral
negative,1.0,flight wasnt 951pm already delayed,1.0,negative,negative
negative,1.0,must always delay late flight night orlando flight,1.0,negative,negative
negative,1.0,second incident lost baggage sent dm thought,1.0,neutral,neutral
negative,1.0,maybe announce delay dont sit plane runway hour taking,1.0,negative,negative
positive,1.0,please come indianapolis,,positive,neutral
negative,1.0,flight 691 bos tampa takeoff 40 min late flight,1.0,negative,negative
neutral,1.0,release november flight flight booking problem,,negative,negative
negative,0.6766,ah grasshopper twitterz kung fu good hire geek,0.3537,positive,neutral
negative,0.6987,well let see could pay negroni bitcoin,0.6987,neutral,neutral
neutral,0.6563,know schedule dec 2015 released,0.0,neutral,neutral
neutral,1.0,im flying airline lga,,neutral,neutral
positive,0.7153,loved natural beefjerky snack,,positive,neutral
positive,0.6322,thanks reply flight 1572,,positive,positive
positive,1.0,must send note good word,,positive,neutral
neutral,0.6457,captain take lot muscle frown smile yall ready go flyin mean,,neutral,neutral
negative,1.0,cant seem dm guy jdhadp,0.6745,positive,neutral
neutral,1.0,ill take 3 round trip ticket closest warmest place please negativedegrees buffalo snowwillnevermelt,,neutral,neutral
neutral,0.6332,know,,neutral,neutral
neutral,0.6382,cool,,positive,neutral
positive,0.6774,u real mvp,,positive,neutral
positive,1.0,worry time flew terminal taking thanks,,positive,positive
positive,0.6526,messaged thanks,,positive,positive
neutral,0.6196,compensated delay cancelled flightlation,0.0,negative,neutral
positive,1.0,thank,,positive,positive
neutral,0.6411,dang pandora look like may get pushed back likely,0.0,neutral,neutral
negative,1.0,poor storm customer service 1hr takeoff delay waiting snack cart rude steward name love guy trueblue,0.686,negative,neutral
negative,1.0,departure people delayed get 200 compensate time,0.6882,negative,neutral
negative,0.6733,one im trying make probably late flight see email could call pittsburgh international,0.3532,negative,negative
neutral,0.3494,flight id love redeem point theyre little year old historical limit,0.0,neutral,negative
negative,1.0,worst customer service airline company dontflythem,1.0,negative,neutral
negative,1.0,whats random delay flight 1729 chance false alarm,1.0,negative,negative
negative,1.0,lost day airport trip compensated inconvenience,0.6667,negative,neutral
positive,1.0,thanks reminder older flight id taken easy access add point new jb account awesome service,,positive,positive
neutral,1.0,switch seat trip sunday,,neutral,neutral
positive,0.6667,ah ha misread end date 2014 2015 thanks clarifying,,positive,positive
negative,0.7018,reason delay,0.7018,negative,neutral
neutral,0.6705,add aa loyalty number jetblue reservation,0.0,neutral,neutral
positive,0.6639,ill see board soon,,positive,neutral
neutral,1.0,flt 1202 delayed,,negative,neutral
neutral,0.6295,afterall indeed lovesongfriday cheesy 80sweresomuchfun brandloveaffair,,neutral,neutral
positive,1.0,heading buffalo trading cold boston colder buffalo maybe caribbean next time,,positive,neutral
neutral,0.6507,team offering inflight access journal content,,neutral,neutral
positive,1.0,course u know would like 2 lay bedofroses long theyre mint colored brandmance,,neutral,neutral
neutral,0.704,ur asking heavy gun know iwoulddoanythingforlove brandmance lovesongfriday,,neutral,neutral
neutral,1.0,well mine sure arent anything write home,,negative,neutral
positive,0.6701,smart make angry mt weve partnered bring free digital access onboard,0.0,positive,neutral
positive,1.0,ooh good one speaking miamore know iadore loving lovesongfriday,,positive,neutral
neutral,1.0,well im sure im bold lol saying didnt believe p,,neutral,neutral
neutral,0.6409,let say idontwannalivewithoutyourlove itwasminttobe bestinclasssocial thankyou travel business,,neutral,neutral
neutral,0.343,would nice see service instead drive 34 hr like charlotte atlanta,0.0,neutral,neutral
positive,1.0,currently dancing terminal love stevie,,neutral,neutral
neutral,0.6768,already ticket shes totally beach right flightlanding sunscreen feelsgood,,neutral,neutral
neutral,0.6698,please start offering route location,0.0,neutral,neutral
positive,0.6959,chair selfie everyone look flawless proud phl crew blueheros,,positive,neutral
positive,1.0,jetblue treated right disabledtraveler thanks hassle flight,,positive,positive
neutral,0.67,im looking every day watching deal specific date fare finder doesnt help,0.0,neutral,neutral
positive,1.0,flight booked heading california team march 68 cant wait expowest,,positive,negative
positive,0.6719,totally would outside view even camera ready haha evenmorespace evenmoreview,,positive,neutral
negative,1.0,dont really know mean isnt best firsttimeflyingwa16mo old experience likelihood addtl delay 2nt,0.6895,negative,neutral
positive,0.6701,sent curious see kind comp get,,positive,neutral
positive,0.6816,cant wait hear back regarding internship opportunity,,positive,neutral
negative,1.0,jetblue flt 277 fll sfo tke 1 hr late flight div phx amp got 2 hr late flight done,1.0,negative,negative
negative,1.0,si 16 month old nephew last night flight mega delayed evening starting w delay,1.0,negative,negative
neutral,1.0,challenge accepted first 5 crew member send pic chair get free ticket visit u wager isitsummeryet,,neutral,neutral
neutral,1.0,whats good address send feedback email,,neutral,neutral
negative,1.0,going bdl dca flight yesterday today every single one getting delayed,0.677,negative,negative
neutral,1.0,said let cross finger happens departing,,neutral,neutral
neutral,1.0,ceo battle appease passenger wall street lake wylie pilot,,neutral,neutral
neutral,0.6392,ok cool need listen dre snoop en route la would shame,,neutral,neutral
negative,0.6634,basically stole glass cant drive see class theyre answering phone call thanksjetblue,0.3465,negative,neutral
positive,0.6838,definitely thanks,,positive,positive
positive,0.6667,im makingloveoutofnothingatall brandloveaffair lax,,positive,neutral
negative,1.0,something theyre telling u 2,0.6487,negative,neutral
neutral,0.6709,thats weve told however would work youre going overseas bottom line passenger feel there 1,0.0,neutral,neutral
negative,1.0,thanks head 2 hour delay sarcasm patienceiswearingthin woof,1.0,negative,positive
positive,1.0,hi wanted see new route planned year newark love flying guy hope,,positive,neutral
negative,1.0,sign trueblue twice happens everyone around,1.0,neutral,neutral
positive,0.6566,oh totally look par admiral club way slide u couple pass,,positive,neutral
neutral,0.6806,thanks bae,,positive,positive
negative,1.0,im going miss hugely important meeting constant delay itscostingmeincome,1.0,negative,neutral
positive,1.0,gr8 mint crew flight 123 lax theyre mintalicious truebluelove shelleyandmarcrock travel air,,positive,negative
positive,1.0,thanks offering service guy,,positive,positive
negative,0.709,flight delayed gtgtgt,0.709,negative,negative
positive,0.6701,say im lostinlove wour brandmance wemosaictogether mint love,,positive,neutral
neutral,1.0,nervous sunday flight baltimore boston suggestion need boston monday,,neutral,negative
positive,1.0,guy rock,,positive,neutral
positive,1.0,would great never thought id sort whod really make flying experience bearable,,positive,positive
negative,0.9278,sorry report stuck tarmac held notwheelsup,0.5386,negative,neutral
positive,1.0,thanks gent phone fixed bosmco flight fee waiver a320 flyfi forget name,,positive,positive
neutral,0.6702,airway hit new 52week high 1758 jblu sleekmoney,,neutral,neutral
negative,1.0,bit steamed conjunction wmy new 7hour wait first sat bought bit tea ive settled,0.6941,positive,neutral
positive,0.7053,thanks hope dont look like complainer ive written good experience wyou past making terminal 5,,negative,positive
neutral,0.65,wed love help shanese bryantmelton hardworking grandmother dc go miami bucket list flyitforward,,neutral,neutral
neutral,1.0,signed trueblue booked flight keep getting error try link tb account whats deal,,neutral,negative
positive,1.0,success good work jetblue team,,positive,neutral
positive,1.0,beautiful ride thanks,,positive,positive
positive,1.0,perfect probably need coffee stay awake night,,positive,neutral
neutral,1.0,ceo battle appease passenger wall street waterbury republican american,,neutral,neutral
negative,1.0,line may extra long security slow seems employee quick blame customer dont arrive 34 hour ahead,0.3684,negative,negative
positive,0.6667,better holdon everythingsgonnabealright 4 brandloveaffair truebluelove travel business,,positive,neutral
negative,1.0,error message paper ticket serviced online please see jetblue crewmember assistance,1.0,negative,neutral
neutral,1.0,food place open jfk t5 24,,neutral,neutral
negative,0.6706,ccndjp send screen shot system error email address provided,0.3376,neutral,neutral
negative,1.0,inconvenience understatement like torture clearly going wrong path jetblue,1.0,negative,neutral
negative,1.0,dont cling safety card safety really issue flight would landed immediately,0.3402,negative,negative
negative,1.0,phone agent cant see flight see online cant change ticket even paying frustrating jetblue,0.3508,negative,negative
negative,1.0,flight 669 forced return ny malfunction land countless air strip surrounding chi,1.0,negative,negative
neutral,0.6579,oh disney bound workhard playsoon,,neutral,neutral
negative,1.0,denverboston 210 flight 994 bostondenver 215 flight 493 plane visible snack crumb seat upon boarding,0.6813,negative,negative
negative,1.0,felt bit like adding insult injury since well terminal 5 seven hour next flight,0.6733,negative,negative
neutral,0.6533,guy get rid hip hop station sirius xm,0.0,positive,neutral
negative,1.0,knew 34 hour sounded odd missed flight hit jfk hour early gate attendant told u 34,1.0,negative,negative
neutral,1.0,airway continue various commercial relationship lufthansa,,neutral,neutral
neutral,1.0,dc thinking summer new nantucket service broadway world,,neutral,neutral
neutral,1.0,time brandmance 2 go upwherewebelong,,neutral,neutral
neutral,1.0,team offer inflight access journal broadway world,,neutral,neutral
neutral,0.6907,june yet,,neutral,neutral
neutral,0.6387,airway hit new 12month high 1758 jblu wkrb news,,neutral,neutral
neutral,0.656,eta flight 802 orlando morning,0.0,neutral,negative
neutral,1.0,using a321 jfksea summer 2015 first a321 flight ever mint seattle core config,,neutral,negative
neutral,1.0,dc thinking summer new nantucket service,,neutral,neutral
negative,0.6242,ok thing happen frustrated change schedule see tomorrow new rescheduled flight,0.6242,neutral,negative
negative,0.6533,sjc jfk departing 1055pm tonight change whole schedule get sort refund,0.332,neutral,neutral
negative,0.6551,airline better system inform client flight cancelled flightled last min schedule,0.6551,negative,negative
negative,1.0,slowest boarding process ive ever experienced rude customer service agent,0.6718,negative,neutral
negative,1.0,need get act together phx,0.6246,neutral,neutral
neutral,1.0,team offer inflight access journal nassau news live,,neutral,neutral
positive,1.0,love bae jetbae,,positive,neutral
neutral,0.6588,probably anymore,0.0,neutral,neutral
neutral,0.6364,yup said would flight change fee plane 45 minute apparently,0.0,negative,negative
neutral,1.0,108 portland maine,,neutral,neutral
negative,1.0,making stay jfk 2 late flightr let rebook without making pay,0.3678,negative,neutral
negative,0.7065,stranded passenger arent helped get another flight,0.3587,negative,negative
positive,0.3548,dont remember date monday night back nyc heartbroken,0.0,positive,neutral
positive,0.68,ugh always know way heart,,positive,neutral
neutral,1.0,team offer inflight access journal digital journal,,neutral,neutral
negative,1.0,cancelled flight flight 670 last minute,1.0,negative,negative
neutral,0.6694,thanks help,,positive,positive
negative,1.0,poorservice poorcommunication waitingsince 1051 bag frm flight 424 jetblue,0.6364,negative,negative
negative,1.0,bag hv posted board flight424 carsl 4 switched carsl 5 comedic watching passenger run frm 1 othr,0.6653,negative,neutral
negative,0.6626,one man baggage office say dunno help,0.6626,negative,neutral
negative,1.0,luggage flight 424 waiting hour bag jetblue poorservice,1.0,negative,negative
negative,1.0,going arrived 1051pm one bag unloaded flight 424,1.0,negative,negative
negative,1.0,yes course left airport kept looking claim still open,1.0,negative,neutral
negative,1.0,669 stewardess cant work wo galley light back nyc change light fromthefrontseat jetblueblues,0.6667,negative,neutral
negative,1.0,left apt 10hrs ago go boston sjc im still nyc please bring back nonstop flight jetblueblues,0.6942,neutral,negative
negative,1.0,never received 15 credit inoperable tv sfo gt jfk flight 2 week ago never got email,1.0,negative,negative
positive,0.6556,far le painful coming avis,0.0,positive,neutral
positive,1.0,flight attendant angel awesome 415 kudos,,positive,negative
neutral,1.0,washington dc,,neutral,neutral
positive,1.0,thank loyalmosaicmember,,positive,positive
negative,0.7023,pilot stated 22 year flying never experienced anything like gettingoffplane,0.3755,negative,neutral
negative,1.0,get plane wait another 12 hour someone read temp tired,1.0,negative,negative
neutral,0.6697,flight 2302 jfk buf,,negative,negative
positive,1.0,thank much,,positive,positive
positive,1.0,awww thank b6 glad hear made day amp one last question idea tail operating flt 606 2maro,,positive,positive
negative,1.0,appreciate quick response one go outside check temp leave buf currentlysittingontarmac,0.6353,negative,neutral
negative,1.0,40 min tell u cant check temperature least 2 hour back gate wait mosiacfail,0.6494,negative,negative
negative,0.7723,time reevaluate nyc carrier,0.731,positive,neutral
neutral,1.0,bringing 2 guitar bring carry,,neutral,neutral
negative,1.0,whats going flight 669 many free trip get epic inconvenience,0.3514,negative,negative
negative,1.0,departure time keep getting late flightr ill lucky im home 3am,1.0,negative,neutral
positive,0.6843,love jet blue,,positive,neutral
negative,1.0,come youre responding everyone else wtf,1.0,positive,neutral
neutral,1.0,anything found cleaning plane dc would baggage office even something small,,neutral,neutral
neutral,1.0,bring dog board,,neutral,neutral
positive,0.7036,think treat onboard enjoy flight,,positive,negative
positive,1.0,cool,,positive,neutral
neutral,1.0,maybe ill go cleveland instead,,negative,neutral
positive,1.0,thank really would preferred jet blue guy best seat business,,positive,positive
neutral,0.6588,hi im trying find flight middle east,0.0,neutral,negative
negative,1.0,patronizing response legitimate issue,1.0,negative,neutral
negative,1.0,yep 1 hour logan gangway broke cabin crew stuck plane arrived passenger request butt massage,0.6987,negative,negative
negative,0.6617,love flight there always delay unfortunately,0.6617,negative,negative
positive,0.683,yes thankfully catering got loading frustrated supposed 101030,0.0,negative,neutral
negative,1.0,butt hurt,0.6942,neutral,neutral
negative,0.6531,thats told half hour ago,0.6531,negative,negative
negative,0.6421,hanging almost hour,0.3482,negative,negative
negative,1.0,took forever catering get flight delayed ticked right,0.6617,negative,negative
negative,1.0,absurd waited 45mins flight attendant assigned flight late flight dont others,0.6509,negative,negative
positive,1.0,safety first lovejetblue,,positive,neutral
negative,1.0,delayed flight bummer,1.0,negative,negative
neutral,1.0,airway corporation nasdaqjblu update say lufthansa market bureau,,neutral,neutral
positive,1.0,thanks much relaxing flight,,positive,positive
neutral,1.0,a320 landing february 2014 avgeek warmweather,,positive,neutral
negative,1.0,shut turn tvsmusic,0.664,negative,neutral
neutral,0.6854,dc thinking summer new nantucket service syscon medium pr,,neutral,neutral
positive,1.0,excellent guy best,,positive,neutral
neutral,1.0,discount volunteer firefighter,,neutral,neutral
neutral,1.0,well fly huntsville al id take either nashville birmingham,,neutral,neutral
negative,1.0,trying take stuff seat front bugging throughout flight didnt feel safe,0.699,negative,negative
positive,1.0,oh yes hope expand airport soon fly see family year,,positive,neutral
positive,1.0,thanks jb,,positive,positive
negative,0.6551,walked gate ask desk gate 1,0.3449,negative,neutral
negative,1.0,flight 2416 orlandoridiculous wait high school band board notbabysitters whrsthecoach,1.0,positive,negative
positive,1.0,offer hot tea coffeeat gate guy make wonder ever flown airline,,positive,neutral
positive,1.0,awesome thanks,,positive,positive
neutral,1.0,dc thinking summer new nantucket service digital journal,,neutral,neutral
negative,1.0,service agent mco great enough working right,0.62,positive,positive
positive,1.0,keep going back forth able board great agent savannah,,positive,positive
negative,1.0,giving false hope ever getting home,0.6669,negative,neutral
neutral,1.0,1st flight morning flying toddler plane heated comfortable temp boarding start itscold,,neutral,negative
positive,0.7077,thatd nice hoping rack enough mile take trip seattle enjoy perfect latte city coffee,,positive,neutral
positive,0.6667,vega san francisco baltimore san diego philadelphia far im frequent business traveler,,positive,neutral
neutral,0.6602,course supposed say logan login,0.0,neutral,neutral
positive,1.0,reimbursed everyone flight portion ticket still love jetblue best american airline,,positive,negative
positive,1.0,jetblue never disappoints,,positive,neutral
neutral,1.0,quick question pay second bag online airport,,neutral,neutral
negative,1.0,cool announce flight delay everyone checking 4 hour delay bdldca staff offering help,1.0,negative,negative
neutral,1.0,yes slc 419,,neutral,neutral
negative,1.0,waiting half hr package whats wrong guy,0.6735,negative,neutral
neutral,0.6808,long ago trip taken place still get credit didnt apply trueblue booked,0.0,neutral,neutral
positive,1.0,thanks help jetbluesofly,,positive,positive
neutral,0.6602,able access using drop instead clicking tab,,neutral,neutral
negative,1.0,trueblue page work chrome safari keep getting blank page lick trueblue tab site,0.6832,negative,neutral
positive,1.0,ahoy loyal allyoucanjetpass holder anticipate direct u flight havana cuba jetblue vacation,,positive,negative
negative,1.0,point offering flight next day expect pay hotel cancelled flightled,1.0,negative,negative
neutral,0.3658,excited first flight w today delayed though give 411 flight number 989 boston dc,0.0,neutral,negative
neutral,0.6723,mosiac 800,0.0,neutral,neutral
negative,0.6625,probably find ticket,0.3394,neutral,neutral
negative,1.0,offered flight 419 paid changed itthis 2nd time done ruin cruise plan,0.6871,negative,negative
positive,1.0,okie doke knowing fix,,positive,neutral
neutral,1.0,check awesome bag flight carry decision,,neutral,negative
neutral,1.0,cant dont acces phone rn iphone broke would rather change late flightr,,neutral,neutral
negative,0.6198,cant flight need late flightr one need change flight guy changed cant time,0.3265,negative,negative
neutral,1.0,sent,,neutral,neutral
neutral,1.0,little vino wouldnt hurt,,neutral,neutral
neutral,0.6632,airway receives new coverage analyst bank america jblu legacy,,neutral,neutral
positive,0.3373,crisis averted flight 69 bos fll boarding let hope new pilot arent clarence oveur roger murdock,0.0,positive,negative
negative,1.0,bag missing 1099 landed 6 hour ago help,0.6616,negative,negative
positive,1.0,thanks julian login getting onto earlier flight back dca,,positive,positive
negative,1.0,apparently substitute pilot flight 69 bos fll cant found info avail counter,0.6443,negative,negative
negative,1.0,landed mco 9am still dont bag supposed give disney magical express ami livid,1.0,negative,neutral
neutral,1.0,ceo battle appease passenger wall street waterbury republican american,,neutral,neutral
positive,1.0,fault social medium awesome people know everyone working hard get u way,,positive,neutral
neutral,1.0,requested here selfie somewhere rockys milehighselfieclub,,neutral,neutral
neutral,0.6768,short stop jfk iad,,negative,neutral
negative,1.0,flight 69 ha one employee said reassigned another said left want warm weather,0.3561,negative,negative
positive,0.6762,seems friend speak highly well need find decent priced way go yvr sea overnight,,positive,neutral
neutral,0.6606,take fraud seriously,0.0,neutral,neutral
negative,0.6629,want add flight mexico air canada exact situation none problem ive jet blue,0.6629,negative,negative
negative,1.0,mean take time write physical letter fraud department doesnt email telephone right,1.0,negative,neutral
negative,0.6624,capital one explained false fraud alert jet blue representative issue new tkt wasnt resolved,0.3547,negative,neutral
positive,0.6737,thanks,,positive,positive
positive,0.6503,en route airport rebooked ticket refunded,,neutral,neutral
negative,0.6596,didnt work called jet blue mexico address fraud alert capital one line rebooked,0.3521,negative,neutral
negative,1.0,actually said fraud issue never resolved issue new ticket phone,1.0,negative,neutral
negative,1.0,called jet blue get explanation make sure would happen future told write fraud dept,0.6733,negative,neutral
positive,1.0,made safe sound thank safe travel,,positive,positive
negative,0.6528,arrived airport told ticket refunded name fraud alert,0.328,negative,neutral
neutral,0.6808,card company explained issue phone mexico purchased new ticket phone,0.0,neutral,neutral
negative,1.0,jet blue cancelled flighted ticket amp never reissued,1.0,negative,neutral
neutral,0.6778,credit card company accidentally marked jet blue ticket fraud corrected mistake reposted money,0.0,neutral,neutral
negative,1.0,screwed last time glad give business jetscrew awfulcustomerservice,0.6508,positive,neutral
negative,1.0,alternative absolutely respect loyal customer 8 year im done,0.6875,positive,neutral
neutral,1.0,thought waiver change fee travel boston weekend,,neutral,neutral
negative,1.0,pooling gifting completely different shouldnt charged 375 send point disgusting,0.6666,negative,neutral
negative,0.6742,would charge money transfer point someone,0.3383,negative,neutral
negative,1.0,doesnt help fly specific day,1.0,negative,neutral
negative,1.0,noting perfectly fine attitude dealing flyer stubborn demanding unwilling accommodate,0.6809,negative,neutral
positive,0.689,there many choice yall south border know every airline equal lowest price best value,0.0,positive,neutral
neutral,0.6659,looking arrange nice flight sea laish comparing cost something direct yvr,,positive,negative
negative,1.0,sharing public fly 20 time year sitting tarmac fll staff worst ever met,1.0,negative,neutral
positive,1.0,love,,positive,neutral
negative,1.0,whats w flt 4 brother fianc sitting board 30mins w tech issue,1.0,negative,neutral
positive,1.0,flying soon nyc airline airline ive flown youre still 1,,positive,neutral
negative,1.0,giving u free movie apparently dunkin donut coffee safety hazard thingsyoucantmakeup switch2sbux,0.6839,negative,neutral
negative,1.0,long someone remembers put plane right really lame excusegeez much better coffeeneeded,0.3579,negative,neutral
negative,0.662,else could possibly take place coffee hourhope pilot wasnt relying aircraft caffeine needcoffee,0.662,positive,neutral
negative,1.0,whats lack coffee 730am flight told someone forgot load coffee onto plane ineedcoffee,0.3368,negative,negative
positive,1.0,utah think thanks,,positive,positive
positive,1.0,thank,,positive,positive
neutral,0.6423,yes princess trying get glassslipperchallenge wdw,,negative,neutral
positive,0.6754,never delayed 533 tpa bdl better safe sorry lovejetblue onlyblue jetblueforever,0.0,positive,neutral
negative,0.6831,dont get wrong love flying tv free bag descent fare recent plane problem annoying,0.6831,negative,neutral
positive,1.0,great flight crew flight 51 bos mco,,positive,positive
negative,1.0,appreciate flew january check engine light came right take computer,0.6667,negative,neutral
positive,1.0,thats love jetblue truebluemember4life,,positive,neutral
neutral,0.7246,traveling w rifle hunting trip pistol large rifle case wasnt clear freq asked question,0.0,neutral,neutral
positive,0.6989,thanks 80th bday saturday aviation themed surprise party,,neutral,positive
negative,0.6471,cancelled flightled flight amp given 2 week apply travel bank credit another flight amp credit transferable,0.3345,negative,negative
neutral,0.6774,thanks sent dm,,positive,positive
negative,1.0,travel bank credit issued company fraud acquired credit family friend charles kravitz see account,0.6729,negative,neutral
negative,1.0,talked manager offered pay 3xs cash originally paid nothanks jetblue ripoff flyunited,0.3437,negative,neutral
negative,1.0,cancelled flightling ticket 3 best friend going vacation never told u jetblue fixthis ripoff,0.6316,negative,neutral
negative,0.6513,apparently pilot made announcement engine trouble losing fuel quickly,0.3288,negative,neutral
neutral,0.6923,grandma ellas 80th would love birthday greeting flight crew stewardess eastern airline,,neutral,negative
negative,1.0,trying charge u 550 dollar cash ticket paid month advance isthisreal nevertoldus jetblue neveragain,0.649,negative,neutral
negative,0.6801,please get service started offer good route lile florida upstate ny vega etc,0.3419,positive,neutral
negative,1.0,cancelled flightling flight sending ticket telling buyer jetblue allowed,0.6702,negative,negative
negative,0.6201,resolution,0.6201,negative,neutral
positive,1.0,best airline name ever whenever see want get plane blue sky amp sea deliver promise,,positive,neutral
positive,1.0,gettin fancy mint lieflat nice work menu lobstermac bloodymary jetsetter,,positive,neutral
negative,1.0,making great first impression first flight 20 minute boarding gate agent still cant assign seat,1.0,negative,positive
negative,0.6951,flight 1318 delayed connecting boston possible switch flight 118 make connection,0.6951,negative,negative
negative,1.0,love cancelled flightling ticket telling customer flyunited,1.0,negative,neutral
